who_region_code,date,cases,deaths
AFRO,2020-02-25,5,0
AFRO,2020-02-26,5,0
AFRO,2020-02-27,5,0
AFRO,2020-02-28,10,0
AFRO,2020-02-29,10,0
AFRO,2020-03-01,10,0
AFRO,2020-03-02,17,0
AFRO,2020-03-03,19,0
AFRO,2020-03-04,29,0
AFRO,2020-03-05,34,0
AFRO,2020-03-06,45,0
AFRO,2020-03-07,51,0
AFRO,2020-03-08,52,0
AFRO,2020-03-09,56,0
AFRO,2020-03-10,60,0
AFRO,2020-03-11,71,0
AFRO,2020-03-12,97,1
AFRO,2020-03-13,104,1
AFRO,2020-03-14,212,2
AFRO,2020-03-15,253,3
AFRO,2020-03-16,287,4
AFRO,2020-03-17,341,4
AFRO,2020-03-18,487,7
AFRO,2020-03-19,601,8
AFRO,2020-03-20,672,12
AFRO,2020-03-21,791,20
AFRO,2020-03-22,842,20
AFRO,2020-03-23,1015,23
AFRO,2020-03-24,1315,26
AFRO,2020-03-25,1666,29
AFRO,2020-03-26,2232,31
AFRO,2020-03-27,2435,39
AFRO,2020-03-28,2841,48
AFRO,2020-03-29,3046,52
AFRO,2020-03-30,3530,68
AFRO,2020-03-31,3833,77
AFRO,2020-04-01,4126,94
AFRO,2020-04-02,4746,127
AFRO,2020-04-03,5306,164
AFRO,2020-04-04,6025,198
AFRO,2020-04-05,6418,235
AFRO,2020-04-06,6756,248
AFRO,2020-04-07,7170,294
AFRO,2020-04-08,7671,327
AFRO,2020-04-09,8337,349
AFRO,2020-04-10,8789,382
AFRO,2020-04-11,9340,415
AFRO,2020-04-12,9728,443
AFRO,2020-04-13,10259,464
AFRO,2020-04-14,10786,501
AFRO,2020-04-15,11366,523
AFRO,2020-04-16,11843,550
AFRO,2020-04-17,12360,586
AFRO,2020-04-18,13104,616
AFRO,2020-04-19,13892,628
AFRO,2020-04-20,14760,662
AFRO,2020-04-21,15555,704
AFRO,2020-04-22,16115,720
AFRO,2020-04-23,16829,748
AFRO,2020-04-24,18233,788
AFRO,2020-04-25,19496,812
AFRO,2020-04-26,20315,839
AFRO,2020-04-27,21469,865
AFRO,2020-04-28,22236,881
AFRO,2020-04-29,23253,902
AFRO,2020-04-30,24713,938
AFRO,2020-05-01,26663,973
AFRO,2020-05-02,27973,1013
AFRO,2020-05-03,29436,1064
AFRO,2020-05-04,30534,1085
AFRO,2020-05-05,32570,1112
AFRO,2020-05-06,33973,1205
AFRO,2020-05-07,35470,1228
AFRO,2020-05-08,37717,1275
AFRO,2020-05-09,40544,1322
AFRO,2020-05-10,42626,1369
AFRO,2020-05-11,44533,1415
AFRO,2020-05-12,46829,1449
AFRO,2020-05-13,49429,1500
AFRO,2020-05-14,51752,1567
AFRO,2020-05-15,54190,1623
AFRO,2020-05-16,56461,1667
AFRO,2020-05-17,58663,1710
AFRO,2020-05-18,61163,1748
AFRO,2020-05-19,63521,1796
AFRO,2020-05-20,65956,1846
AFRO,2020-05-21,68347,1910
AFRO,2020-05-22,71752,1981
AFRO,2020-05-23,74256,2040
AFRO,2020-05-24,77295,2073
AFRO,2020-05-25,80002,2120
AFRO,2020-05-26,83044,2214
AFRO,2020-05-27,85815,2308
AFRO,2020-05-28,89592,2370
AFRO,2020-05-29,92929,2427
AFRO,2020-05-30,96902,2482
AFRO,2020-05-31,100610,2554
AFRO,2020-06-01,104242,2638
AFRO,2020-06-02,108121,2700
AFRO,2020-06-03,111486,2789
AFRO,2020-06-04,115639,2858
AFRO,2020-06-05,121104,2958
AFRO,2020-06-06,126561,3062
AFRO,2020-06-07,131324,3148
AFRO,2020-06-08,135412,3236
AFRO,2020-06-09,140498,3352
AFRO,2020-06-10,145287,3493
AFRO,2020-06-11,150082,3593
AFRO,2020-06-12,155762,3700
AFRO,2020-06-13,161254,3867
AFRO,2020-06-14,167566,3998
AFRO,2020-06-15,175503,4111
AFRO,2020-06-16,181903,4235
AFRO,2020-06-17,187625,4346
AFRO,2020-06-18,194539,4482
AFRO,2020-06-19,201178,4595
AFRO,2020-06-20,208535,4750
AFRO,2020-06-21,216999,4874
AFRO,2020-06-22,224663,4996
AFRO,2020-06-23,232215,5117
AFRO,2020-06-24,239548,5290
AFRO,2020-06-25,248558,5441
AFRO,2020-06-26,258752,5564
AFRO,2020-06-27,268102,5673
AFRO,2020-06-28,278815,5785
AFRO,2020-06-29,288347,5879
AFRO,2020-06-30,297290,6010
AFRO,2020-07-01,306794,6192
AFRO,2020-07-02,318432,6340
AFRO,2020-07-03,329796,6486
AFRO,2020-07-04,342415,6628
AFRO,2020-07-05,356666,6746
AFRO,2020-07-06,369928,6974
AFRO,2020-07-07,382563,7139
AFRO,2020-07-08,397942,7415
AFRO,2020-07-09,410744,7559
AFRO,2020-07-10,428051,7730
AFRO,2020-07-11,443412,7927
AFRO,2020-07-12,461296,8089
AFRO,2020-07-13,477575,8250
AFRO,2020-07-14,492660,8427
AFRO,2020-07-15,506124,8647
AFRO,2020-07-16,523403,8819
AFRO,2020-07-17,543122,9130
AFRO,2020-07-18,561466,9349
AFRO,2020-07-19,579091,9546
AFRO,2020-07-20,597223,9691
AFRO,2020-07-21,611185,9898
AFRO,2020-07-22,623851,10157
AFRO,2020-07-23,642386,10789
AFRO,2020-07-24,659348,11001
AFRO,2020-07-25,679962,11340
AFRO,2020-07-26,696207,11708
AFRO,2020-07-27,712920,11900
AFRO,2020-07-28,726105,12257
AFRO,2020-07-29,738344,12519
AFRO,2020-07-30,754390,12838
AFRO,2020-07-31,770421,13234
AMRO,2020-01-20,5,0
AMRO,2020-01-21,5,0
AMRO,2020-01-22,5,0
AMRO,2020-01-23,5,0
AMRO,2020-01-24,6,0
AMRO,2020-01-25,6,0
AMRO,2020-01-26,14,0
AMRO,2020-01-27,15,0
AMRO,2020-01-28,16,0
AMRO,2020-01-29,16,0
AMRO,2020-01-30,17,0
AMRO,2020-01-31,19,0
AMRO,2020-02-01,20,0
